Team,Rank,Assists,Team Games,Per Game,Corners,Fouls,Goals,GA,Diff,PS,psatt,Pct.,Points,Saves,SoG,ShAtt,Shutouts,Won,Loss,Tied,Team Min,GAA
Notre Dame,262.0,88.0,255.0,52.429,95.0,181.0,156.0,36.0,27.0,3.0,5.0,2.628,122.0,110.0,212.0,480.0,9.0,11.0,2.0,4.0,1530.0,0.706
Oakland,629.0,52.0,285.0,41.263,80.0,203.0,100.0,96.0,-7.0,2.0,3.0,2.317,76.0,194.0,162.0,382.0,5.0,8.0,9.0,2.0,1710.0,1.684
Ohio St.,734.0,30.0,270.0,46.613,118.0,227.0,92.0,63.0,2.0,2.0,2.0,2.564,61.0,90.0,190.0,498.0,6.0,6.0,6.0,6.0,1640.0,1.152
Old Dominion,660.0,22.0,255.0,42.115,67.0,237.0,80.0,69.0,-3.0,5.0,5.0,2.651,51.0,138.0,162.0,352.0,4.0,5.0,7.0,5.0,1530.0,1.353
Omaha,827.0,66.0,300.0,47.5,94.0,241.0,120.0,81.0,3.0,6.0,8.0,2.461,93.0,174.0,226.0,504.0,7.0,8.0,8.0,4.0,1800.0,1.35
Oral Roberts,175.0,70.0,255.0,54.933,93.0,166.0,156.0,42.0,25.0,2.0,2.0,2.901,113.0,94.0,272.0,598.0,6.0,10.0,4.0,3.0,1530.0,0.824
Oregon St.,584.0,64.0,270.0,48.338,90.0,226.0,116.0,72.0,5.0,1.0,3.0,1.9289999999999998,90.0,80.0,200.0,516.0,5.0,8.0,5.0,5.0,1640.0,1.317
Pacific,979.0,46.0,255.0,46.11599999999999,86.0,220.0,88.0,96.0,-10.0,3.0,4.0,2.254,67.0,156.0,158.0,412.0,3.0,5.0,8.0,4.0,1530.0,1.882
Penn,447.0,54.0,240.0,43.188,72.0,179.0,96.0,36.0,12.0,5.0,7.0,2.6310000000000002,75.0,100.0,168.0,346.0,7.0,7.0,3.0,6.0,1460.0,0.74
Penn St.,503.0,56.0,285.0,46.841,93.0,235.0,132.0,45.0,18.0,4.0,4.0,2.906,94.0,128.0,204.0,466.0,8.0,10.0,4.0,5.0,1730.0,0.78
Pittsburgh,548.0,72.0,255.0,43.473,72.0,148.0,120.0,81.0,3.0,3.0,3.0,2.548,96.0,116.0,166.0,420.0,6.0,6.0,7.0,4.0,1550.0,1.568
Portland,437.0,108.0,240.0,54.13,85.0,187.0,180.0,36.0,33.0,5.0,5.0,2.941,144.0,72.0,188.0,426.0,8.0,12.0,4.0,0.0,1440.0,0.75
Presbyterian,984.0,44.0,240.0,43.684999999999995,61.0,202.0,108.0,93.0,-4.0,6.0,7.0,2.378,76.0,112.0,162.0,344.0,2.0,5.0,8.0,3.0,1440.0,1.938
Princeton,1047.0,38.0,225.0,46.873,56.0,204.0,88.0,93.0,-9.0,4.0,4.0,2.4979999999999998,63.0,138.0,164.0,372.0,2.0,4.0,8.0,3.0,1350.0,2.067
Providence,444.0,66.0,255.0,49.512,88.0,200.0,120.0,63.0,9.0,1.0,2.0,2.16,93.0,94.0,200.0,488.0,7.0,8.0,6.0,3.0,1530.0,1.235
