isHome,shotType,situation,bodyPart,goalMouthLocation,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,draw.start.x,draw.start.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.block.x,draw.block.y,xgot,goalType,color
True,block,assisted,right-foot,low-left,0.27773720026016,1883835,15,,880,31,1820,shot,Karol Świderski,,,karol-swiderski,K. Świderski,F,3292,576438,5.4,48.9,0,0,53.1,19.0,48.9,5.4,46.9,0,46.9,81.0,3.8,48.4,0.0,48.4,3.8,,,#ea6969
True,save,free-kick,right-foot,high-centre,0.04837141931057,1883782,4,,199,42,2501,shot,Bill Tuiloma,,,bill-tuiloma,B. Tuiloma,D,71,155892,22.9,29.1,0,0,51.4,26.6,29.1,22.9,48.6,0,48.6,73.4,0.7,49.1,0.0,49.1,0.7,0.0867,,#ea6969
False,save,fast-break,right-foot,low-left,0.02922716178,1874395,90,1.0,5457,1,843,shot,Kerwin Calderón Vargas,Kerwin Calderón Vargas,,kerwin-calderon-vargas,K. C. Vargas,F,162,1131136,31.5,27.7,0,0,53.8,3.8,27.7,31.5,46.2,0,46.2,96.2,7.7,44.8,0.0,44.8,7.7,0.2408,,#ea6969
False,miss,regular,right-foot,high-left,0.051470212638378,1874370,75,,4499,16,901,shot,Nathan Byrne,,,nathan-byrne,N. Byrne,D,25,147887,14.8,69.0,0,0,58.5,86.1,69.0,14.8,41.5,0,41.5,13.9,,,,,,,,#ea6969
False,save,assisted,head,low-centre,0.2237091511488,1874369,75,,4497,16,903,shot,Nuno Santos,,,nuno-santos,N. Santos,M,216,930552,8.0,50.4,0,0,50.0,3.2,50.4,8.0,50.0,0,50.0,96.8,0.90000000000001,49.6,0.0,49.6,0.90000000000001,0.1512,,#ea6969
False,miss,assisted,head,close-right,0.061573412269354,1874333,59,,3532,32,1868,shot,Andre Shinyashiki,,,andre-shinyashiki,A. Shinyashiki,F,115,973284,10.4,55.2,0,0,40.8,6.9,55.2,10.4,59.2,0,59.2,93.1,,,,,,,,#ea6969
False,block,set-piece,head,low-centre,0.025389842689037,1874281,45,2.0,2815,1,2585,shot,Karol Świderski,,,karol-swiderski,K. Świderski,F,3292,576438,12.2,42.2,0,0,49.9,19.0,42.2,12.2,50.1,0,50.1,81.0,10.5,43.3,0.0,43.3,10.5,,,#ea6969
False,goal,assisted,head,low-left,0.29476898908615,1874237,25,,1480,21,1220,shot,Enzo Copetti,,,enzo-copetti,E. Copetti,F,462,860045,7.3,53.2,0,0,54.4,3.8,53.2,7.3,45.6,0,45.6,96.2,,,,,,0.8788,regular,#00FF00
True,miss,assisted,head,right,0.11675998568535,1863890,90,3.0,5527,1,773,shot,Karol Świderski,,,karol-swiderski,K. Świderski,F,3292,576438,7.9,54.3,0,0,40.2,19.4,54.3,7.9,59.8,0,59.8,80.6,,,,,,,,#ea6969
True,save,corner,head,low-centre,0.099120445549488,1863895,90,1.0,5441,1,859,shot,Enzo Copetti,,,enzo-copetti,E. Copetti,F,462,860045,7.7,50.0,0,0,50.4,15.8,50.0,7.7,49.6,0,49.6,84.2,1.6,50.2,0.0,50.2,1.6,0.027,,#ea6969
True,post,assisted,head,right,0.074251376092434,1863887,90,1.0,5419,1,881,shot,Kerwin Calderón Vargas,Kerwin Calderón Vargas,,kerwin-calderon-vargas,K. C. Vargas,F,162,1131136,8.0,44.5,0,0,44.8,13.3,44.5,8.0,55.2,0,55.2,86.7,,,,,,,,#ea6969
True,save,assisted,left-foot,low-centre,0.16837954521179,1863870,85,,5076,6,324,shot,Karol Świderski,,,karol-swiderski,K. Świderski,F,3292,576438,8.7,61.4,0,0,50.3,7.6,61.4,8.7,49.7,0,49.7,92.4,1.4,52.9,0.0,52.9,1.4,0.0263,,#ea6969
True,save,assisted,right-foot,low-centre,0.10284409672022,1863861,82,,4864,9,536,shot,Andre Shinyashiki,,,andre-shinyashiki,A. Shinyashiki,F,115,973284,15.4,44.3,0,0,51.4,6.3,44.3,15.4,48.6,0,48.6,93.7,1.8,49.5,0.0,49.5,1.8,0.0568,,#ea6969
True,block,assisted,left-foot,low-centre,0.045769896358252,1863848,80,,4786,11,614,shot,Brandt Bronico,,,brandt-bronico,B. Bronico,M,31,873709,16.2,38.2,0,0,50.0,19.0,38.2,16.2,50.0,0,50.0,81.0,14.9,39.2,0.0,39.2,14.9,,,#ea6969
True,miss,assisted,right-foot,high,0.068780571222305,1863844,79,,4711,12,689,shot,Kerwin Calderón Vargas,Kerwin Calderón Vargas,,kerwin-calderon-vargas,K. C. Vargas,F,162,1131136,12.6,34.9,0,0,44.2,69.4,34.9,12.6,55.8,0,55.8,30.6,,,,,,,,#ea6969
True,save,assisted,right-foot,low-centre,0.023275777697563,1863808,70,,4169,21,1231,shot,Kerwin Calderón Vargas,Kerwin Calderón Vargas,,kerwin-calderon-vargas,K. C. Vargas,F,162,1131136,20.5,28.3,0,0,50.9,13.9,28.3,20.5,49.1,0,49.1,86.1,2.2,48.6,0.0,48.6,2.2,0.0219,,#ea6969
True,miss,set-piece,right-foot,close-left,0.021061705425382,1863795,65,,3880,26,1520,shot,Bill Tuiloma,,,bill-tuiloma,B. Tuiloma,D,71,155892,28.2,36.8,0,0,57.3,15.3,36.8,28.2,42.7,0,42.7,84.7,,,,,,,,#ea6969
True,miss,assisted,head,left,0.056576836854219,1863794,64,,3835,27,1565,shot,Karol Świderski,,,karol-swiderski,K. Świderski,F,3292,576438,11.5,48.7,0,0,60.0,19.4,48.7,11.5,40.0,0,40.0,80.6,,,,,,,,#ea6969
True,miss,assisted,left-foot,close-left,0.13115155696869,1863778,57,,3408,34,1992,shot,Enzo Copetti,,,enzo-copetti,E. Copetti,F,462,860045,9.1,47.2,0,0,58.8,11.1,47.2,9.1,41.2,0,41.2,88.9,,,,,,,,#ea6969
True,miss,corner,head,right,0.086568757891655,1863761,52,,3110,39,2290,shot,Enzo Copetti,,,enzo-copetti,E. Copetti,F,462,860045,7.2,56.1,0,0,38.0,30.6,56.1,7.2,62.0,0,62.0,69.4,,,,,,,,#ea6969
True,block,assisted,right-foot,low-centre,0.066495403647423,1863740,46,,2737,45,2663,shot,Enzo Copetti,,,enzo-copetti,E. Copetti,F,462,860045,19.6,52.2,0,0,51.1,19.0,52.2,19.6,48.9,0,48.9,81.0,16.2,51.6,0.0,51.6,16.2,,,#ea6969
True,block,assisted,left-foot,low-left,0.066519573330879,1863675,28,,1636,18,1064,shot,Karol Świderski,,,karol-swiderski,K. Świderski,F,3292,576438,14.5,50.5,0,0,52.4,19.0,50.5,14.5,47.6,0,47.6,81.0,12.9,50.2,0.0,50.2,12.9,,,#ea6969
True,miss,assisted,left-foot,high,0.068627744913101,1863648,21,,1232,25,1468,shot,Ashley Westwood,,,ashley-westwood,A. Westwood,M,175,49647,14.8,49.6,0,0,53.3,65.3,49.6,14.8,46.7,0,46.7,34.7,,,,,,,,#ea6969
